"actividades legislativas","Actividades primarias","Comercio al por mayor","construcción","Corporativos","Enegía ","Industria manufactureras","Información en medios masivos","Minería ","Servicios de apoyo ","Servicios de esparcimiento","Salud","Servicios educativos","Servicios financieros y seguros","Servicios inmobiliarios ","Servicios profesionales y técnicos ","Transporte","Comercio al pormenor","Servicios no gubernamentales","Servicios de alojamiento y alimentación"
76,3,49,17,0,13,467,11,3,27,47,85,94,36,60,32,33,2037,572,562
7,0,6,0,0,1,34,2,0,3,6,8,8,4,2,3,0,215,33,56
12,0,3,1,0,1,36,1,0,1,5,9,7,2,1,0,2,156,35,54
17,0,28,2,0,1,123,4,0,19,9,27,21,3,2,0,37,614,173,135
27,0,41,6,0,3,143,13,0,24,11,26,36,6,6,9,14,814,213,194
30,1,25,2,0,3,132,7,0,21,25,52,34,15,12,17,13,728,190,251
5,0,1,0,0,1,2,0,0,0,0,1,6,1,0,0,0,24,6,3
28,1,92,4,1,3,310,10,0,80,29,100,56,25,18,30,43,1832,491,546
14,1,6,2,0,1,55,2,0,2,4,18,10,4,0,1,2,245,94,136
6,0,3,0,0,1,24,1,0,8,2,10,8,1,1,1,0,110,22,29
14,0,34,4,0,3,125,3,0,13,16,34,28,4,6,8,7,550,198,267
9,0,2,0,0,1,12,1,0,4,3,9,10,2,1,1,0,117,18,18
13,0,6,1,0,1,44,1,0,5,3,7,12,1,2,0,1,188,38,41
49,3,67,10,0,4,305,9,1,53,45,111,65,44,20,49,33,1854,593,660
8,0,47,1,0,1,160,6,0,5,3,19,22,2,7,5,3,792,188,120
5,0,7,0,0,1,33,2,0,4,2,12,11,2,1,1,1,180,52,43
12,0,13,2,0,2,61,3,0,8,3,15,19,2,2,1,1,189,69,71
9,0,7,0,0,1,75,2,0,13,5,22,12,3,6,1,10,330,89,75
3,0,1,0,0,1,19,3,1,0,0,6,4,1,0,1,1,0,16,14
24,0,22,0,0,9,138,5,0,10,13,47,29,9,14,8,11,562,171,130
8,0,15,2,0,1,72,1,0,7,11,24,10,2,0,6,6,359,73,73
23,1,26,0,0,4,85,5,0,5,9,28,20,4,3,11,4,349,137,161
7,0,18,0,0,1,89,1,0,9,1,6,7,2,1,2,4,423,87,60
6,2,8,0,0,2,21,2,0,1,1,3,6,2,2,1,2,88,33,22
49,19,54,1,0,5,221,7,0,22,18,68,36,23,19,19,17,1041,358,400
33,1,79,12,0,3,278,7,0,20,25,89,45,17,31,24,24,1995,452,265
4,0,1,0,0,1,7,0,0,1,2,3,6,0,1,0,0,34,18,8
27,8,27,1,0,4,169,5,0,17,14,39,22,10,10,9,5,542,230,240
8,0,7,1,0,2,24,0,0,5,4,11,7,3,5,0,0,105,39,62
3,0,2,0,0,1,6,0,0,2,0,2,4,1,0,0,0,49,8,2
43,0,52,4,0,4,268,8,0,35,27,81,66,26,30,30,32,1509,435,368
2,0,1,0,0,1,70,14,0,3,2,8,6,0,2,2,1,182,34,22
93,2,127,36,0,5,645,45,0,80,51,153,130,38,42,84,60,3729,886,782
5,0,3,0,0,1,33,2,0,4,4,8,19,0,0,3,1,213,37,27
23,1,67,5,0,7,571,8,0,29,32,140,72,25,51,33,33,1891,526,478
11,4,13,0,0,2,59,4,0,5,4,10,9,4,3,7,2,198,63,77
4,1,2,0,0,2,18,2,0,1,2,5,5,3,2,0,1,83,20,30
7,0,13,1,0,2,90,1,0,31,16,20,36,4,1,4,12,676,129,85
96,9,116,14,0,5,462,28,2,60,32,196,104,58,33,103,86,2360,845,813
10,0,8,0,0,1,112,2,0,2,6,10,16,3,2,0,0,372,66,33
7,0,2,1,0,2,36,1,0,5,0,8,12,1,0,0,1,93,28,20
49,1,42,4,0,3,132,10,1,18,19,67,38,17,5,48,18,679,259,267
19,37,49,3,0,4,222,7,0,23,25,73,43,21,9,20,18,857,274,368
9,0,10,0,0,3,25,1,0,6,4,8,4,2,0,0,2,206,45,52
16,1,11,3,0,3,95,6,1,8,18,27,16,9,3,12,12,446,156,154
11,0,21,0,0,2,141,3,0,11,13,27,22,4,6,1,8,628,136,100
6,0,12,1,0,2,61,4,0,5,4,29,18,4,3,3,2,333,67,51
26,3,32,8,1,4,167,5,3,24,35,84,52,35,14,21,14,971,388,368
19,0,27,0,0,3,227,6,0,14,16,48,39,8,17,10,7,1045,225,176
14,0,6,0,0,1,51,3,0,3,1,13,11,2,0,4,2,228,48,58
24,0,11,1,0,2,61,5,0,3,5,18,18,5,4,8,10,305,97,114
143,0,356,50,0,19,1896,38,7,197,199,694,351,144,165,294,154,9658,2708,2677
12,0,16,1,0,3,104,5,0,9,14,48,28,10,13,7,5,463,133,125
16,0,18,0,0,1,56,5,0,20,4,20,14,5,1,4,3,309,84,89
27,0,27,2,0,4,262,4,0,6,22,26,31,9,2,9,6,783,171,164
9,0,10,0,0,1,25,1,0,2,1,11,9,0,1,1,3,146,21,24
9,3,9,0,0,2,63,4,0,4,6,18,10,2,2,5,8,249,64,47
5,0,4,1,0,1,28,1,1,4,1,11,8,1,2,1,0,93,32,31
7,0,5,0,0,3,71,3,0,3,7,14,18,2,3,2,3,305,68,48
20,0,20,2,0,6,199,5,5,11,12,49,31,10,19,10,11,722,177,197
21,4,35,2,0,5,129,6,0,17,23,44,32,17,13,10,82,1021,326,343
5,0,5,0,0,1,19,1,0,2,1,3,5,1,0,0,1,49,12,11
208,45,401,103,1,27,1416,58,4,294,262,877,407,282,214,336,181,8333,3518,3216
6,0,2,0,0,1,23,1,0,2,3,8,10,0,0,4,0,82,23,12
15,0,15,3,0,4,110,4,0,10,6,46,21,8,3,10,5,465,146,123
14,3,19,1,0,1,71,4,0,8,7,25,14,3,0,9,5,354,94,104
4,0,5,0,0,3,41,5,0,7,2,8,5,1,1,1,1,240,51,39
17,1,39,1,0,4,600,7,0,19,37,52,37,12,28,17,21,1550,334,253
28,1,32,3,0,4,219,9,0,22,14,35,44,2,2,4,8,1063,171,194
74,80,83,5,0,5,533,28,12,43,61,183,110,59,48,59,41,2543,721,898
3,0,4,0,0,1,44,1,0,2,3,8,7,1,1,1,0,256,24,39
40,0,57,3,0,2,238,8,0,18,17,58,46,8,17,9,11,1260,342,189
10,0,14,1,0,1,47,3,0,7,2,12,19,2,1,4,2,321,68,40
364,5,1026,528,4,80,3580,119,4,567,458,2156,977,716,636,911,454,18341,7275,5833
29,0,9,1,0,3,107,2,1,13,18,41,27,6,8,16,8,354,104,153
14,0,0,0,0,4,54,3,1,5,8,9,12,1,3,1,2,166,58,56
7,2,17,1,0,3,154,4,0,8,4,23,19,4,13,7,1,452,122,103
11,0,3,0,0,1,57,4,0,7,8,13,14,3,6,2,3,248,78,119
20,4,60,4,0,8,746,11,0,30,19,85,84,24,23,18,17,1656,411,340
34,8,76,1,0,3,448,7,1,34,34,65,60,10,21,14,12,1458,370,439
68,1,187,14,0,10,860,29,1,39,76,213,134,54,70,105,42,3063,1010,971
