"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10"
"05002",0.950841482444109,-0.149622767762139,0.153948383133345,0.0229880670619401,-0.201611724924968,-0.0568346736444907,-0.0216993052821112,-0.0042356036964417,0.0563157503077036,0.0197924202130245
"05003",0.967125495794186,-0.143310476050466,0.126767258743852,0.0322311999765756,-0.154888267018923,-0.020329270289477,0.00996850262319323,0.00169417752249002,0.0411825569532879,0.0133857989255998
"05004",0.984633042078493,0.0290807246670334,0.0512690154446624,-0.11880261728552,0.0448754345984613,0.0145474768215472,-0.0139479155436078,-0.0326979260579066,0.0393476583954093,-0.0473640155296716
"05005",0.964385001687374,-0.194651094200421,0.106453014265626,0.106974027141405,-0.0372103816759362,0.0180423274764082,-0.0320551532096553,-0.0248294127558946,-0.0279860400171503,-0.0191802984982453
"05006",0.977868344503205,-0.0581104302274682,-0.00424324984284704,0.0854462822921418,-0.140044016692593,-0.0410743919424892,-0.0479648363871358,-0.0275866150172429,0.027344516887651,0.00197557613445882
"05007",0.991202894592911,-0.0737105618690575,0.0893380924070034,0.0218856329322808,0.015551669522052,-0.0515073736768244,0.00278874742469038,-0.00934708854331354,0.0071006532624343,0.012884495606347
"05008",0.114352842393371,0.346023242046411,0.737172181988991,0.335899005490113,-0.343725263250763,-0.0131633934516308,0.0397766781707259,-0.00483684264269262,-0.105479939728606,0.0556854305724082
"05009",0.975181154607948,-0.172368005063387,0.0826532735815713,-0.0457845917981294,-0.0942963375667393,-0.0137695163004912,0.00448671854721836,-0.00371851644992211,0.0208602483234735,0.00419948792410779
"05010",0.992993542212252,0.00783323024448191,-0.0189469623771201,0.0210350334873935,-0.0824536018135481,-0.0376207624914423,-0.0306191449397912,-0.0222308242172124,0.0419998720080792,-0.0213604647651461
"05011",0.992578722510111,-0.0954710973133758,0.0369020898052927,0.0413541877866424,-0.0363411637805305,-0.0206246579758045,-0.00659368188707335,0.00832230560401898,0.0030140892821139,0.00581620937678798
"05012",0.828543763405136,-0.163601388135734,0.229524130341036,0.401362661758682,0.170169717734374,-0.0393105231778194,-0.084539653223012,-0.0638451167339745,0.0284839624871219,-0.0720420702564183
"05013",0.816953241071503,-0.262113748508068,0.275101641327833,0.388910792035106,0.0745690527227355,-0.154569991881798,-0.0524493871180241,-0.0238555016312182,-0.0111186899233428,0.0222071204974864
"05014",0.964860615890411,-0.146027003382369,0.196968660161469,-0.0172775905716468,-0.0821232311572509,-0.00756058618401227,-0.0300374687023919,-0.0062033513637183,-0.00395645577791854,0.00369452546620206
"05015",0.94337557728447,-0.188415943994126,0.148798202610113,0.146338597075393,-0.0906198878117572,0.0468485864199143,0.012791783921118,0.117372408342186,-0.029219075559371,0.0179407205592189
"05016",0.981270807704046,-0.0146507013116669,0.106444412357197,0.140548886631715,-0.01450401066874,-0.00698500715214206,0.0259124537011751,0.00513595894964003,-0.0136213175939785,0.0350764766242454
"05017",0.987426895124948,-0.111244027126112,0.0781505854164959,-0.0513820236636775,-0.0470792757774857,-0.0157824567001676,-0.0162819094874036,-0.00993104546992951,0.00134286130996617,0.001382263252519
"05018",0.986318771264971,-0.0526992544776066,0.0253011702411964,0.0181701901654602,-0.137379884679103,-0.0185623510989967,0.0281934745117701,-0.00839644854943269,0.0436074938520188,-0.0115199644353793
"05019",0.965487352453861,-0.0936070418877526,0.179695072377715,-0.079713043374279,-0.122582432648557,-0.0304879171538596,-0.033772700634771,-0.022385789171899,-0.0024910338426024,0.00331073259195504
"05020",0.990893247489809,-0.0379404605449237,0.0562479177138763,0.0161645884407127,-0.0940445029893755,-0.0388538609448743,-0.0286723685210271,-0.0183189526565581,0.0144837970481952,0.0154240116360696
"05021",0.990277737170479,-0.0846474824069975,0.0437918014497932,0.0329475833690269,-0.00243359093020793,0.000324851697282559,0.00665732190876211,-0.0263891170333467,-0.0495893198976652,-0.021472882915735
"05022",0.974699240978405,-0.107075792582952,0.0692185151575525,0.0428303286695313,-0.155884422931169,-0.0305479502913232,-0.0287606214901285,-0.0201262540169427,0.0407366091791026,-0.000921593678330435
"05023",0.981887423031764,-0.140243286491518,-0.0272243046587531,0.0745617705753948,-0.000499230922418713,0.00582412134127072,-0.028582651895373,-0.034484408832031,-0.00214695197496063,0.0730084651698008
"05024",0.990625371917098,-0.116560246599628,0.0550639927466833,-0.0281973078618669,-0.0107829951502992,0.00962313109048843,-0.007016998096995,-0.0155493237164557,0.00899890058890451,-0.0111963537160888
"05025",0.954673044106227,-0.125782347959025,0.171316050479155,-0.0169308017580553,-0.18614592860325,-0.00577202021814789,0.05831894280909,0.00416453981183645,0.0611140886402293,0.0108691193907826
"05026",0.825811585876922,-0.295826960518417,0.252136673730115,0.294444483644174,-0.0776250025695081,0.0020859721408071,-0.0805176659288584,-0.108509120533565,-0.035399119476019,0.148700637846685
"05027",0.985207790663113,-0.0379281715653947,0.0476466850031773,-0.0202969951883998,-0.127627716469171,-0.0295068348622781,-0.0188163353269397,-0.0240295991277624,0.0697930303947952,-0.0339303002933838
"05028",0.976858548776811,-0.104698963132838,0.125244980969739,-0.0503674355486321,-0.0997769647864309,-0.0517368386674837,-0.0262382818744136,-0.0313736332153233,0.0284503178871389,0.0184655717898014
"05029",0.859811935957552,-0.155561581327135,0.215326769817683,0.275980287208855,0.302069702232346,-0.10254643545054,0.0495230918497017,0.0187569623867281,0.0248121686593574,0.0296482540559546
"05030",0.979570677551495,-0.107700448744427,0.0637793606418548,0.0252402422680839,-0.143530827852586,-0.00177101238037046,0.0336400498413203,-0.00280940605503171,0.0391348891652942,-0.00959274452194977
"05031",0.979522612835956,-0.0824244455017073,0.0336865461720431,0.0633143526219908,-0.156105561969565,-0.0391098364327597,-0.00751103828722614,-0.00921650210084788,0.0236713581035189,-0.00570816908406846
"05032",0.976357644474731,-0.087534374381179,0.149752789181364,-0.0309711442329915,-0.107355098945246,-0.0290191674287499,-0.0204474884950905,-0.013704020996464,0.0155409129236051,0.0243713562355878
"05033",0.987202096023718,-0.142236899084956,0.0403206351232901,-0.00667778977335777,-0.0547401600425226,-0.00277978734417296,-0.00469809946588549,-0.0036021919272538,0.00812046182769197,0.00275005601819097
"05034",0.897874377890351,-0.0265187411096099,0.00747004644648704,0.166483123264314,-0.0485831095953984,-0.0328362594933343,-0.0302572409402056,-0.11727854973209,-0.0345822510325504,0.308839671852702
"05035",0.96785909229383,-0.134011220971107,0.128418391993339,-0.10903142032812,-0.101667182763029,0.00647610474853334,0.0543207464957569,-0.00838463103561028,0.0354541895333477,-0.0258404856679781
"05036",0.956134344383686,-0.144582486576917,0.12231885114798,-0.0895910779733426,0.196693792973291,0.0045484704565935,-0.00113000668822993,-0.0263063716682081,0.0162915605259727,-0.0288876167903132
"05037",0.947606892155112,-0.132477212934193,0.145235498935239,0.114559644499682,-0.199662368372644,-0.0625570646785481,-0.0667124511178182,-0.0136816963942281,0.0113469581075804,0.00896360135996484
"05038",0.980585712653777,-0.0946933261720806,0.133991875996912,-0.0303587405344824,-0.0894626126578654,-0.0335256218116789,-0.0143052706029156,-0.00798878954155277,-0.000817017391172407,-0.0160241703885552
"06001",0.956286926697518,-0.0107258503112646,0.143272174321814,-0.249386339347399,0.0434006644412421,0.0126105276924617,-0.0109391488829456,-0.0071984775702731,-0.00712315996050847,0.012004556020355
"06002",0.945384751950711,-0.0849900018729282,0.217507228637929,-0.140474705977511,-0.115190159922651,0.00669792688132451,0.123157733058098,0.0132650327041177,0.0262908772928519,-0.000331907971338744
"06003",0.978835736646014,0.0770557011848985,0.0832626429686549,-0.161937918521136,0.021282444687633,0.00848717082611333,0.035727237419037,-0.00545442275251919,-0.0202100323649879,-0.00791159674104707
"06004",0.975666813833913,-0.0918729778203367,0.130979433556025,-0.132941133773915,-0.0498257968087932,-0.0208239628287057,-0.0360238908237426,-0.000823747784504151,-0.0127474996792997,0.0069641180987209
"06005",0.981315747735914,-0.0724189274193662,0.113917114374018,-0.131043938287632,-0.0242818204967422,-0.0123395991023412,-0.00418787239094959,-0.0162113610528947,0.00813374878723427,-0.0121494818513591
"06006",0.942016111361569,-0.134403541562443,0.2004216286356,-0.224310034849798,0.0380709395082788,-0.0132120397253084,-0.0108472240857301,-0.0102923715411771,0.00728076342995781,0.0137426362230484
"06007",0.944461416627173,-0.176586702346906,0.112617598928621,-0.188487809222245,-0.0351534507570683,-0.0115779322908085,-0.0144653806482572,-0.0248603394129398,0.0273685568005565,0.00338288424733218
"06008",0.964202518532187,-0.14311261529797,0.126291656153606,-0.169124909557491,-0.0409785766137355,-0.0334911282482572,-0.0280780165508069,-0.0212811487801368,0.0170421608931123,-0.00617983564587782
"06009",0.962274684937252,-0.0977081168555245,0.139697056931723,-0.209158702217164,-0.0147559834389017,-0.00985098952026029,-0.016597795577818,-0.010910954134074,-0.00210833360457538,-0.0170011782820131
